Runtime,Computationaltime,Backtracks
0 days 00:00:09.306236,0 days 00:00:09.299585,0
0 days 00:00:09.313103,0 days 00:00:09.306861,0
0 days 00:00:09.320436,0 days 00:00:09.313797,0
0 days 00:00:09.327420,0 days 00:00:09.321068,0
0 days 00:00:09.335020,0 days 00:00:09.328155,0
0 days 00:00:09.341721,0 days 00:00:09.335599,0
0 days 00:00:09.349192,0 days 00:00:09.342420,0
0 days 00:00:09.356552,0 days 00:00:09.349992,0
0 days 00:00:09.363462,0 days 00:00:09.357150,0
0 days 00:00:09.370713,0 days 00:00:09.364131,0
0 days 00:00:09.377819,0 days 00:00:09.371351,0
0 days 00:00:09.385542,0 days 00:00:09.378563,0
0 days 00:00:09.392767,0 days 00:00:09.386186,0
0 days 00:00:09.400020,0 days 00:00:09.393383,0
0 days 00:00:09.407251,0 days 00:00:09.400718,0
0 days 00:00:09.414126,0 days 00:00:09.407862,0
0 days 00:00:09.422759,0 days 00:00:09.415009,0
0 days 00:00:09.430344,0 days 00:00:09.423479,0
0 days 00:00:09.438023,0 days 00:00:09.431123,0
0 days 00:00:09.445192,0 days 00:00:09.438661,0
0 days 00:00:09.453109,0 days 00:00:09.445991,0
0 days 00:00:09.459957,0 days 00:00:09.453724,0
0 days 00:00:09.467286,0 days 00:00:09.460615,0
0 days 00:00:09.474266,0 days 00:00:09.467883,0
0 days 00:00:09.481798,0 days 00:00:09.474924,0
0 days 00:00:09.490452,0 days 00:00:09.482675,0
0 days 00:00:09.500074,0 days 00:00:09.491661,0
0 days 00:00:09.507514,0 days 00:00:09.500758,0
0 days 00:00:09.514960,0 days 00:00:09.508197,0
0 days 00:00:09.522303,0 days 00:00:09.515559,0
0 days 00:00:09.529359,0 days 00:00:09.522894,0
0 days 00:00:09.536712,0 days 00:00:09.529986,0
0 days 00:00:09.543963,0 days 00:00:09.537325,0
0 days 00:00:09.551807,0 days 00:00:09.544646,0
0 days 00:00:09.558527,0 days 00:00:09.552376,0
0 days 00:00:09.565836,0 days 00:00:09.559206,0
0 days 00:00:09.572790,0 days 00:00:09.566483,0
